station_id,line,name,station_nm_eng,station_cd,fr_code,bldn_id,lat,lng,created_at,updated_at,geom
106,2호선,신촌,Sinchon,0240,240,240,37.5551310,126.9369260,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.936926 37.555131)
107,2호선,홍대입구,Hongik Univ.,0239,239,239,37.5567900,126.9237080,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.923708 37.55679)
108,2호선,구로디지털단지,Guro Digital Complex,0232,232,232,37.4852660,126.9014010,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.901401 37.485266)
109,2호선,용두,Yongdu,0250,211-3,250,37.5740280,127.0380910,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.038091 37.574028)
110,2호선,신당,Sindang,0206,206,206,37.5656400,127.0196140,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.019614 37.56564)
111,2호선,역삼,Yeoksam,0221,221,221,37.5006220,127.0364560,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.036456 37.500622)
112,2호선,선릉,Seolleung,0220,220,220,37.5042860,127.0482030,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.048203 37.504286)
113,2호선,종합운동장,Sports Complex,0218,218,218,37.5110220,127.0737040,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.073704 37.511022)
114,2호선,잠실,Jamsil,0216,216,216,37.5132620,127.1001590,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.100159 37.513262)
115,2호선,건대입구,Konkuk Univ.,0212,212,212,37.5403730,127.0691910,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.069191 37.540373)
116,2호선,합정,Hapjeong,0238,238,238,37.5494570,126.9138080,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.913808 37.549457)
117,2호선,한양대,Hanyang Univ.,0209,209,209,37.5552730,127.0436550,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.043655 37.555273)
118,2호선,까치산,Kkachisan,0200,234-4,2519,37.5317680,126.8466830,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.846683 37.531768)
119,2호선,구의,Guui,0213,213,213,37.5370770,127.0859160,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.085916 37.537077)
120,2호선,문래,Mullae,0235,235,235,37.5179330,126.8947600,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.89476 37.517933)
121,2호선,동대문역사문화공원,Dongdaemun History  Culture Park,0205,205,205,37.5656130,127.0090540,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.009054 37.565613)
122,2호선,잠실나루,Jamsillaru,0215,215,215,37.5207330,127.1037900,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.10379 37.520733)
123,2호선,삼성,Samseong,0219,219,219,37.5088440,127.0631600,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.06316 37.508844)
124,2호선,신도림,Sindorim,0234,234,234,37.5089610,126.8910840,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.891084 37.508961)
125,2호선,아현,Ahyeon,0242,242,242,37.5573450,126.9561410,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.956141 37.557345)
